Trial,CorrectAns,choice,RT,Correct,key.started,key.stopped,participant,date,expName,psychopyVersion,frameRate,
1_AF1669_AF1735,left,left,2.2482914000283927,1,1234.596465599956,1236.929059869994,2,2022-12-29-2131,VBDM,2021.2.0,59.77743665115159,
2_AF244_AF1456,left,left,2.797410700004548,1,1238.9271900999593,1241.7622867699597,2,2022-12-29-2131,VBDM,2021.2.0,59.77743665115159,
2_AF967_AF467,left,left,1.4379702999722213,1,1243.7607526000356,1245.2624446699979,2,2022-12-29-2131,VBDM,2021.2.0,59.77743665115159,
1_AF1456_AF1762,left,left,3.0948090000310913,1,1247.2603020999813,1250.479109269951,2,2022-12-29-2131,VBDM,2021.2.0,59.77743665115159,
1_AF113_AF1647,right,right,1.6471600999357179,1,1252.4777157999342,1254.1625020699926,2,2022-12-29-2131,VBDM,2021.2.0,59.77743665115159,
3_AF959_AF1659,right,right,1.511440399917774,1,1256.1596993999556,1257.729301270016,2,2022-12-29-2131,VBDM,2021.2.0,59.77743665115159,
3_AF1366_AF1402,right,right,1.182367500034161,1,1259.727210199926,1260.9787418699475,2,2022-12-29-2131,VBDM,2021.2.0,59.77743665115159,
3_AF1328_AF1365,right,right,1.5191550999879837,1,1262.9763846999267,1264.579365070013,2,2022-12-29-2131,VBDM,2021.2.0,59.77743665115159,
4_AF2001_AF1798,left,left,1.2005162999266759,1,1266.5796188999666,1267.8462138700183,2,2022-12-29-2131,VBDM,2021.2.0,59.77743665115159,
2_AF1597_AF1977,right,right,1.3579035999719054,1,1269.8501273000147,1271.2792490700144,2,2022-12-29-2131,VBDM,2021.2.0,59.77743665115159,
2_AF1966_AF1762,left,left,2.137995500001125,1,1273.2767765999306,1275.479275069933,2,2022-12-29-2131,VBDM,2021.2.0,59.77743665115159,
2_AF1603_AF1643,right,right,2.18255919998046,1,1277.4771123999963,1279.729021469981,2,2022-12-29-2131,VBDM,2021.2.0,59.77743665115159,
2_AF1162_AF1468,right,right,1.5272030000342056,1,1281.7320444999496,1283.3456259699656,2,2022-12-29-2131,VBDM,2021.2.0,59.77743665115159,
2_AF959_AF784,right,right,0.10795320000033826,1,1285.3445838999469,1287.7289820699139,2,2022-12-29-2131,VBDM,2021.2.0,59.77743665115159,
1_AF1335_AF1546,left,left,1.1105257000308484,1,1289.7324057000224,1290.9290034700302,2,2022-12-29-2131,VBDM,2021.2.0,59.77743665115159,
1_AF636_AF1811,left,left,1.9229702999582514,1,1292.932168600033,1294.9294803699363,2,2022-12-29-2131,VBDM,2021.2.0,59.77743665115159,
1_AF1821_AF113,left,left,1.5334297999506816,1,1296.928783099982,1298.5124438699918,2,2022-12-29-2131,VBDM,2021.2.0,59.77743665115159,
4_AF2006_AF1006,left,left,1.1470077999401838,1,1300.5115136000095,1301.7123879699852,2,2022-12-29-2131,VBDM,2021.2.0,59.77743665115159,
2_AF1405_AF1734,left,left,1.4802139999810606,1,1303.711610600003,1305.2789252699936,2,2022-12-29-2131,VBDM,2021.2.0,59.77743665115159,
1_AF1908_AF1006,left,left,1.3662111000157893,1,1307.2753343000077,1308.7458668699605,2,2022-12-29-2131,VBDM,2021.2.0,59.77743665115159,
4_AF1811_AF2001,right,right,1.0064553000265732,1,1310.7457335999934,1311.8125113699703,2,2022-12-29-2131,VBDM,2021.2.0,59.77743665115159,
1_AF2007_AF1689,left,right,2.2401193999685347,0,1313.816883499967,1316.1454370699707,2,2022-12-29-2131,VBDM,2021.2.0,59.77743665115159,
2_AF1846_AF1396,left,left,1.0826459000818431,1,1318.1482403000118,1319.4455487699365,2,2022-12-29-2131,VBDM,2021.2.0,59.77743665115159,
2_AF1527_AF2010,right,right,1.3677082000067458,1,1321.4433257000055,1322.9292227699539,2,2022-12-29-2131,VBDM,2021.2.0,59.77743665115159,
1_AF1567_AF395,left,left,1.6248905999818817,1,1324.9272695999825,1326.6624879700016,2,2022-12-29-2131,VBDM,2021.2.0,59.77743665115159,
2_AF722_AF1738,left,left,1.112542700022459,1,1328.659616800025,1329.8955175700016,2,2022-12-29-2131,VBDM,2021.2.0,59.77743665115159,
4_AF1396_AF2006,right,right,1.3327197000617161,1,1331.8936730999267,1333.2788523700206,2,2022-12-29-2131,VBDM,2021.2.0,59.77743665115159,
