Trial,CorrectAns,choice,RT,Correct,key.started,key.stopped,participant,date,expName,psychopyVersion,frameRate,
1_AF1725_AF1284,left,left,0.7633232000516728,1,2477.1495364999864,2478.0339622499887,1,2022-12-27-2111,VBDM,2021.2.0,60.02563095790019,
1_AF1762_AF1560,left,left,1.0562935000052676,1,2480.036594300007,2481.183701150003,1,2022-12-27-2111,VBDM,2021.2.0,60.02563095790019,
2_AF1270_AF1955,left,left,1.1042959000333212,1,2483.185063599958,2484.4169919499545,1,2022-12-27-2111,VBDM,2021.2.0,60.02563095790019,
1_AF2003_AF565,right,right,1.8232369999750517,1,2486.4176764999866,2488.3338059500093,1,2022-12-27-2111,VBDM,2021.2.0,60.02563095790019,
1_AF470_AF1734,right,left,1.0181784000014886,0,2490.3349084999645,2491.416996749991,1,2022-12-27-2111,VBDM,2021.2.0,60.02563095790019,
1_AF1434_AF41,right,right,1.4172770000295714,1,2493.416654700006,2494.900639750005,1,2022-12-27-2111,VBDM,2021.2.0,60.02563095790019,
3_AF1667_AF582,left,left,1.252569600008428,1,2496.903295499971,2498.250664649997,1,2022-12-27-2111,VBDM,2021.2.0,60.02563095790019,
1_AF1955_AF1812,right,left,1.3551015999983065,0,2500.251057599962,2501.700640850002,1,2022-12-27-2111,VBDM,2021.2.0,60.02563095790019,
1_AF1468_AF2001,right,right,1.39827459998196,1,2503.7023695999524,2505.2505499499966,1,2022-12-27-2111,VBDM,2021.2.0,60.02563095790019,
1_AF1666_AF597,left,left,1.0744936999981292,1,2507.251934400003,2508.400395250006,1,2022-12-27-2111,VBDM,2021.2.0,60.02563095790019,
2_AF1712_AF1638,right,right,1.533241699973587,1,2510.4005994999898,2512.06694265001,1,2022-12-27-2111,VBDM,2021.2.0,60.02563095790019,
3_AF1735_AF1667,right,right,0.9321237999829464,1,2514.067467599991,2515.21729494998,1,2022-12-27-2111,VBDM,2021.2.0,60.02563095790019,
4_AF2004_AF1832,right,right,1.1473823999986053,1,2517.2214870000025,2518.466621749976,1,2022-12-27-2111,VBDM,2021.2.0,60.02563095790019,
2_AF1233_AF433,left,right,1.7195290999952704,0,2520.4673057000036,2522.2693445499754,1,2022-12-27-2111,VBDM,2021.2.0,60.02563095790019,
1_AF1365_AF1064,right,left,1.2768672999809496,0,2524.2692045999574,2525.633669050003,1,2022-12-27-2111,VBDM,2021.2.0,60.02563095790019,
1_AF1689_AF987,right,right,1.549067499989178,1,2527.634042299993,2529.3169737499557,1,2022-12-27-2111,VBDM,2021.2.0,60.02563095790019,
1_AF2011_AF1955,left,right,1.2631013999925926,0,2531.318476699991,2532.7004309499753,1,2022-12-27-2111,VBDM,2021.2.0,60.02563095790019,
1_AF1405_AF1675,left,left,1.9298326999996789,1,2534.700949699967,2536.7169506499777,1,2022-12-27-2111,VBDM,2021.2.0,60.02563095790019,
4_AF1396_AF1832,right,right,1.1331028999993578,1,2538.7173885999946,2539.9502194499946,1,2022-12-27-2111,VBDM,2021.2.0,60.02563095790019,
1_AF1762_AF1966,right,left,0.9053032000083476,0,2541.951423099963,2542.983747349994,1,2022-12-27-2111,VBDM,2021.2.0,60.02563095790019,
